village_code,hhid,time,cash,income_pc,elder,hhsize
20207018,167,0,0,137.5355,0,3
20207018,167,1,0,2017.674,0,3
20207018,168,0,0,132.794,0,9
20207018,168,1,0,363.8327,0,6
20207019,169,0,1,203.6756,1,3
20207019,169,1,1,6.922017,1,2
20207019,170,0,1,38.03012,0,6
20207019,170,1,1,30.81462,0,7
20207022,171,0,0,41.3996,0,7
20207022,171,1,0,281.6251,0,2
20207022,172,0,0,118.0231,0,5
20207022,172,1,0,153.1808,0,4
20207022,173,0,0,118.518,0,2
20207022,173,1,0,147.9243,0,1
20207022,174,0,0,47.7522,0,1
20207022,174,1,0,37.10476,0,1
20301012,175,0,1,67.63277,0,7
20301012,175,1,1,249.0977,0,7
20301012,176,0,1,24.51588,0,9
20301012,176,1,1,97.60529,0,10
20301013,177,0,1,160.3886,1,3
20301013,177,1,1,80.25758,1,4
20301013,178,0,1,123.1777,0,4
20301013,178,1,1,33.70348,0,4
20301013,179,0,1,6.565928,0,2
20301013,179,1,1,6402.259,0,2
20301014,180,0,1,30.46443,0,9
20301014,180,1,1,82.08131,0,6
20301014,181,0,1,56.59903,0,5
20301014,181,1,1,67.35899,0,3
20301014,182,0,1,111.2519,0,8
20301014,182,1,1,129.8417,0,8
20301016,183,0,0,15.87177,1,3
20301016,183,1,0,81.03678,1,2
20301016,184,0,0,180.3435,0,4
20301016,184,1,0,293.9675,0,7
20301016,185,0,0,30.14023,0,4
20301016,185,1,0,239.9441,0,5
20301016,186,0,0,28.94894,0,7
20301016,186,1,0,164.1001,0,5
20301017,187,0,1,234.7682,0,6
20301017,187,1,1,50.15078,0,5
20301017,188,0,1,57.3396,0,3
20301017,188,1,1,248.2822,0,7
20301017,189,0,1,76.75224,0,3
20301017,189,1,1,87.69646,0,4
20301017,190,0,1,42.11652,0,4
20301017,190,1,1,2.659195,0,4
20301017,191,0,1,54.4281,0,4
20301017,191,1,1,24.46873,0,4
20302010,192,0,1,107.6129,0,5
20302010,192,1,1,263.4264,0,4
20302010,193,0,1,36.50065,0,9
20302010,193,1,1,110.1479,0,8
20302010,194,0,1,80.3999,0,4
20302010,194,1,1,643.1457,0,5
20302010,195,0,1,75.40416,0,3
20302010,195,1,1,195.4802,0,4
20303013,196,0,1,21.12379,0,3
20303013,196,1,1,1867.278,0,1
20303013,197,0,1,81.89396,1,4
20303013,197,1,1,64.33346,1,2
20303013,198,0,1,31.68569,0,2
20303013,198,1,1,120.6135,0,6
20303015,199,0,0,107.6514,1,3
20303015,199,1,0,3.13329,1,3
20303015,200,0,0,67.36472,0,3
20303015,200,1,0,12.36825,0,3
20303018,201,0,0,45.4651,0,7
20303018,201,1,0,133.1133,0,8
20303018,202,0,0,95.24497,0,7
20303018,202,1,0,740.0455,0,7
20303018,203,0,0,78.87946,0,3
20303018,203,1,0,904.1192,0,3
20303018,204,0,0,783.6343,0,1
20303018,204,1,0,423.168,0,5
20401010,205,0,1,106.907,1,6
20401010,205,1,1,226.8472,1,4
20401010,206,0,1,387.0335,0,4
20401010,206,1,1,1619.108,0,2
20401010,207,0,1,81.60776,0,4
20401010,207,1,1,304.6795,0,5
20401012,208,0,0,43.78523,0,4
20401012,208,1,0,174.5703,0,5
20401012,209,0,0,517.275,0,4
20401012,209,1,0,345.8163,0,5
20401021,210,0,0,5.85214,1,3
20401021,210,1,0,539.2557,1,3
20401021,211,0,0,124.5902,0,3
20401021,211,1,0,391.9087,0,6
20401022,212,0,0,41.93067,1,5
20401022,212,1,0,152.0019,1,4
20401023,213,0,0,142.7507,1,2
20401023,213,1,0,70.12798,1,2
20401023,214,0,0,204.8908,1,5
20401023,214,1,0,61.18162,1,6
20401023,215,0,0,60.07612,1,7
20401023,215,1,0,164.4153,1,6
20401023,216,0,0,40.96042,1,2
20401023,216,1,0,302.2033,1,1
20401024,217,0,1,147.5237,1,3
20401024,217,1,1,24.20467,1,3
20401024,218,0,1,232.5079,1,1
20401024,218,1,1,242.0483,1,3
20401024,219,0,1,41.18443,0,6
20401024,219,1,1,92.99754,0,7
20401024,220,0,1,59.04333,1,2
20401024,220,1,1,10.3613,1,3
20402012,221,0,0,534.9877,0,3
20402012,221,1,0,62.66581,0,3
20402012,222,0,0,493.89,0,4
20402012,222,1,0,274.0805,0,5
20402012,223,0,0,148.9727,0,4
20402012,223,1,0,36.38005,0,3
20402012,224,0,0,116.9929,1,1
20402012,224,1,0,139.0191,1,1
20402013,225,0,1,239.8557,0,3
20402013,225,1,1,270.5266,0,3
20402013,226,0,1,118.6932,0,3
20402013,226,1,1,1109.411,0,5
20402013,227,0,1,52.98883,0,5
20402013,227,1,1,353.2125,0,5
20402016,228,0,1,74.15792,0,3
20402016,228,1,1,234.8942,0,2
20402017,229,0,0,26.39972,0,4
20402017,229,1,0,136.8667,0,6
20402017,230,0,0,36.97147,0,5
20402017,230,1,0,112.8603,0,4
20402017,231,0,0,429.7699,0,3
20402017,231,1,0,15.46031,0,4
20402018,232,0,0,149.2551,0,6
20402018,232,1,0,480.8241,0,5
20402018,233,0,0,106.8262,1,1
20402018,233,1,0,264.1859,1,1
20402018,234,0,0,123.6306,0,3
20402018,234,1,0,112.3874,0,3
20402020,235,0,0,252.2587,1,1
20402020,235,1,0,204.0475,1,1
20402020,236,0,0,84.23676,1,4
20402020,236,1,0,71.42784,1,5
20402020,237,0,0,39.34466,1,2
20402020,237,1,0,945.1388,1,2
20402020,238,0,0,58.43715,1,5
20402020,238,1,0,303.8749,1,1
20403011,239,0,1,44.53952,1,7
20403011,239,1,1,46.60437,1,9
20403011,240,0,1,82.16727,1,6
20403011,240,1,1,200.9624,1,4
20403011,241,0,1,65.02115,0,5
20403011,241,1,1,144.2655,0,5
20403011,242,0,1,45.95017,0,5
20403011,242,1,1,93.71093,0,3
20403012,243,0,0,26.94048,0,8
20403012,243,1,0,352.77,0,9
20403012,244,0,0,66.26768,0,9
20403012,244,1,0,464.3042,0,5
20403012,245,0,0,10.60248,0,7
20403012,245,1,0,477.2661,0,5
20403013,246,0,1,38.21812,1,1
20403013,246,1,1,244.9006,1,5
20403013,247,0,1,192.6653,0,7
20403013,247,1,1,614.0775,0,4
20403013,248,0,1,122.2424,1,1
20403013,248,1,1,171.7258,1,1
20403013,249,0,1,6.715184,0,10
20403013,249,1,1,627.7836,0,6
20403014,250,0,1,328.0904,0,4
20403014,250,1,1,180.2462,0,2
20403014,251,0,1,135.8712,0,2
20403014,251,1,1,101.7845,0,2
20403015,252,0,0,242.132,0,3
20403015,252,1,0,487.1854,0,4
20403015,253,0,0,126.8153,0,3
20403015,253,1,0,286.4487,0,5
20403015,254,0,0,109.6404,0,7
20403015,254,1,0,119.5598,0,6
20403015,255,0,0,128.3579,0,1
20403015,255,1,0,155.84,0,1
20403015,256,0,0,13.89331,1,2
20403015,256,1,0,35.01826,1,1
20403015,257,0,0,573.0264,0,2
20403015,257,1,0,742.095,0,3
20403016,258,0,1,8.709992,1,9
20403016,258,1,1,28.85119,1,8
20403016,259,0,1,55.73411,1,3
20403016,259,1,1,502.8938,1,1
20403017,260,0,1,59.85488,1,2
20403017,260,1,1,2987.62,1,1
20403017,261,0,1,42.70966,0,1
20403017,261,1,1,529.8188,0,1
20403017,262,0,1,18.10429,0,6
20403017,262,1,1,260.7687,0,7
20403017,263,0,1,75.47434,1,5
20403017,263,1,1,54.01463,1,1
20403018,264,0,1,34.70144,0,3
20403018,264,1,1,1340.051,0,2
20403018,265,0,1,83.60116,1,2
20403018,265,1,1,19.61852,1,1
20403018,266,0,1,93.91267,0,6
20403018,266,1,1,72.79953,0,5
20403018,267,0,1,631.8878,0,3
20403018,267,1,1,445.9645,0,4
20403019,268,0,1,106.7361,0,7
20403019,268,1,1,870.1332,0,5
20403019,269,0,1,474.3679,0,4
20403019,269,1,1,294.9729,0,5
20403019,270,0,1,61.76365,0,2
20403019,270,1,1,73.06915,0,4
20403019,271,0,1,163.6124,0,4
20403019,271,1,1,60.28271,0,6
20403020,272,0,1,35.06887,0,7
20403020,272,1,1,327.5979,0,7
20403021,273,0,0,169.0319,1,1
20403021,273,1,0,86.57777,1,1
20403021,274,0,0,146.6563,0,6
20403021,274,1,0,612.4743,0,8
20403021,275,0,0,135.8842,0,6
20403021,275,1,0,18.02149,0,7
20403022,276,0,0,272.1876,0,4
20403022,276,1,0,834.857,0,4
20403022,277,0,0,65.72745,0,4
20403022,277,1,0,204.7029,0,4
20403022,278,0,0,25.33767,0,7
20403022,278,1,0,393.3104,0,4
20404011,279,0,0,292.1667,1,1
20404011,279,1,0,572.8974,1,1
20404011,280,0,0,102.5718,1,2
20404011,280,1,0,92.14347,1,2
20404012,281,0,0,116.2473,1,2
20404012,281,1,0,918.4882,1,2
20404012,282,0,0,100.5297,0,6
20404012,282,1,0,109.8713,0,6
20404015,283,0,1,69.28361,0,5
20404015,283,1,1,1147.806,0,5
20404016,284,0,1,105.6065,0,2
20404016,284,1,1,17.97519,0,3
20404016,285,0,1,21.35483,0,2
20404016,285,1,1,126.5903,0,4
20404019,286,0,0,49.17662,1,5
20404019,286,1,0,245.5973,1,2
20404019,287,0,0,108.7548,0,5
20404019,287,1,0,202.3446,0,5
20404019,288,0,0,224.5503,0,1
20404019,288,1,0,61.84126,0,2
20404019,289,0,0,55.0704,0,7
20404019,289,1,0,76.68069,0,7
20404020,290,0,0,83.6824,1,2
20404020,290,1,0,2027.619,1,2
20404020,291,0,0,24.17192,1,4
20404020,291,1,0,145.9454,1,2
20404020,292,0,0,32.70227,0,4
20404020,292,1,0,157.6188,0,4
20404020,293,0,0,123.1476,0,4
20404020,293,1,0,69.75267,0,5
30101011,294,0,1,19.6969,0,4
30101011,294,1,1,746.8693,0,4
30101011,295,0,1,240.9644,1,1
30101011,295,1,1,38.2179,1,4
30101011,296,0,1,118.668,0,7
30101011,296,1,1,192.2482,0,6
30101013,297,0,1,135.1952,0,3
30101013,297,1,1,222.443,0,2
30102010,298,0,1,5.366512,1,6
30102010,298,1,1,.0382179,1,4
30102010,299,0,1,9.053054,0,7
30102010,299,1,1,395.5226,0,6
30102010,300,0,1,508.0558,0,6
30102010,300,1,1,47.7438,0,5
30102011,301,0,0,21.00371,0,4
30102011,301,1,0,153.7406,0,4
30102011,302,0,0,57.16209,1,3
30102011,302,1,0,142.8121,1,3
30102011,303,0,0,56.7197,0,6
30102011,303,1,0,116.2616,0,5
30102011,304,0,0,47.90741,0,7
30102011,304,1,0,3.003718,0,7
30102012,305,0,1,125.261,0,6
30102012,305,1,1,275.6642,0,6
30102012,306,0,1,54.904,0,10
30102012,306,1,1,287.3335,0,9
30102015,307,0,0,87.15469,0,4
30102015,307,1,0,64.34087,0,4
30102015,308,0,0,53.82948,0,4
30102015,308,1,0,72.72532,0,1
30102015,309,0,0,249.6564,0,2
30102015,309,1,0,136.1818,0,11
30102015,310,0,0,94.60304,1,6
30102015,310,1,0,170.0635,1,12
30103010,311,0,0,20.83786,1,3
30103010,311,1,0,142.4823,1,1
30103010,312,0,0,95.4539,1,5
30103010,312,1,0,99.12883,1,5
30103010,313,0,0,131.2344,0,4
30103010,313,1,0,548.1716,0,4
30103011,314,0,0,138.5047,0,2
30103011,314,1,0,351.0973,0,1
30103011,315,0,0,27.49609,1,2
30103011,315,1,0,140.294,1,1
30103011,316,0,0,223.2231,1,5
30103011,316,1,0,124.7427,1,7
30103011,317,0,0,86.16448,1,1
30103011,317,1,0,238.6599,1,1
30103012,318,0,0,112.837,1,1
30103012,318,1,0,35.62056,1,3
30103012,319,0,0,155.0818,1,4
30103012,319,1,0,277.0488,1,5
30103012,320,0,0,135.2056,0,4
30103012,320,1,0,77.44852,0,2
30103012,321,0,0,648.2311,0,2
30103012,321,1,0,292.9792,0,5
30103013,322,0,1,64.24268,1,6
30103013,322,1,1,123.2527,1,8
30103013,323,0,1,160.8668,0,2
30103013,323,1,1,1172.881,0,2
30103013,324,0,1,68.53343,1,10
30103013,324,1,1,136.9203,1,8
30103016,325,0,1,94.51934,0,2
30103016,325,1,1,101.7845,0,4
30103016,326,0,1,283.4001,1,1
30103016,326,1,1,188.032,1,2
30103016,327,0,1,35.30409,1,5
30103016,327,1,1,43.80693,1,7
30103016,328,0,1,47.80536,0,5
30103016,328,1,1,32.35964,0,5
30104010,329,0,0,130.835,1,4
30104010,329,1,0,709.9376,1,1
30104010,330,0,0,61.03233,0,4
30104010,330,1,0,18.83622,0,6
30104010,331,0,0,55.64927,0,5
30104010,331,1,0,303.2695,0,5
30104012,332,0,0,72.00466,1,2
30104012,332,1,0,57.14132,1,1
30104012,333,0,0,116.2077,0,4
30104012,333,1,0,985.6672,0,3
30104012,334,0,0,14.99786,1,6
30104012,334,1,0,8.163046,1,5
30104015,335,0,0,129.3584,0,1
30104015,335,1,0,47.98882,0,1
30104015,336,0,0,24.18954,0,8
30104015,336,1,0,52.74372,0,9
30104015,337,0,0,182.2041,0,5
30104015,337,1,0,69.57141,0,4
30104015,338,0,0,70.6685,0,6
30104015,338,1,0,123.5718,0,6
30105011,339,0,0,59.70796,0,5
30105011,339,1,0,337.4059,0,4
30105011,340,0,0,132.5213,0,2
30105011,340,1,0,383.9492,0,2
30105011,341,0,0,80.96523,0,4
30105011,341,1,0,239.3003,0,4
30105013,342,0,0,311.8971,1,2
30105013,342,1,0,51.94666,1,1
30105013,343,0,0,26.70655,0,4
30105013,343,1,0,251.5685,0,4
30105017,344,0,1,34.93706,0,6
30105017,344,1,1,70.47656,0,6
30105017,345,0,1,47.89206,0,5
30105017,345,1,1,207.6203,0,4
30105017,346,0,1,278.0211,1,2
30105017,346,1,1,1011.43,1,2
30105017,347,0,1,23.72475,1,5
30105017,347,1,1,200.5166,1,2
30105018,348,0,1,104.0359,1,3
30105018,348,1,1,311.5931,1,3
30105018,349,0,1,109.725,1,1
30105018,349,1,1,152.362,1,1
30105018,350,0,1,230.2362,0,6
30105018,350,1,1,588.2382,0,6
30105018,351,0,1,45.58854,1,3
30105018,351,1,1,363.707,1,2
30201011,352,0,1,79.35633,0,4
30201011,352,1,1,43.41009,0,5
30201011,353,0,1,147.1354,1,1
30201011,353,1,1,63.05456,1,1
30201011,354,0,1,105.7729,0,3
30201011,354,1,1,449.6494,0,3
30201011,355,0,1,122.8365,0,4
30201011,355,1,1,1.348139,0,2
30201012,356,0,0,30.76748,1,6
30201012,356,1,0,322.8114,1,1
30201012,357,0,0,55.78251,0,3
30201012,357,1,0,46.07174,0,4
30201012,358,0,0,46.75508,0,8
30201012,358,1,0,28.30563,0,7
30201012,359,0,0,52.13785,0,3
30201012,359,1,0,24.98387,0,4
30201013,360,0,0,90.51114,1,4
30201013,360,1,0,1030.91,1,2
30201013,361,0,0,12.10236,0,7
30201013,361,1,0,209.1884,0,6
30201013,362,0,0,340.4757,1,2
30201013,362,1,0,143.0759,1,2
30201013,363,0,0,61.68283,0,9
30201013,363,1,0,1137.349,0,7
30201014,364,0,1,55.8466,0,4
30201014,364,1,1,189.6383,0,3
30201014,365,0,1,517.6726,0,1
30201014,365,1,1,233.7854,0,1
30201014,366,0,1,33.9462,0,6
30201014,366,1,1,59.04851,0,5
30201014,367,0,1,243.9379,1,2
